               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,     metrics/rov_mAP,   metrics/plant_mAP,metrics/animal_fish_mAP,metrics/animal_starfish_mAP,metrics/animal_shells_mAP,metrics/animal_crabh_mAP,metrics/animal_eel_mAP,metrics/animal_etc_mAP,metrics/trash_clothing_mAP,metrics/trash_pipe_mAP,metrics/trash_bottle_mAP,metrics/trash_bag_mAP,metrics/trash_snack_wrapper_mAP,metrics/trash_can_mAP,metrics/trash_cup_mAP,metrics/trash_container_mAP,metrics/trash_unknown_instance_mAP,metrics/trash_branch_mAP,metrics/trash_wreckage_mAP,metrics/trash_tarp_mAP,metrics/trash_rope_mAP,metrics/trash_net_mAP,  metrics/rov_mAP_50,metrics/plant_mAP_50,metrics/animal_fish_mAP_50,metrics/animal_starfish_mAP_50,metrics/animal_shells_mAP_50,metrics/animal_crabh_mAP_50,metrics/animal_eel_mAP_50,metrics/animal_etc_mAP_50,metrics/trash_clothing_mAP_50,metrics/trash_pipe_mAP_50,metrics/trash_bottle_mAP_50,metrics/trash_bag_mAP_50,metrics/trash_snack_wrapper_mAP_50,metrics/trash_can_mAP_50,metrics/trash_cup_mAP_50,metrics/trash_container_mAP_50,metrics/trash_unknown_instance_mAP_50,metrics/trash_branch_mAP_50,metrics/trash_wreckage_mAP_50,metrics/trash_tarp_mAP_50,metrics/trash_rope_mAP_50,metrics/trash_net_mAP_50
                  10,            0.045997,            0.015029,            0.049716,             0.65658,             0.10546,             0.08026,            0.044942,            0.051983,            0.021724,             0.05515,            0.009703,            0.009703,            0.009703,             0.22202,           0.0043264,           0.0049467,           0.0021188,           0.0020023,          0.00030624,            0.068656,           0.0033566,           0.0087086,            0.031961,            0.011694,            0.022555,            0.059976,            0.027459,           0.0038322,             0.15896,            0.051786,             0.27211,            0.021833,          0.00081999,           0.0084461,          0.00085104,              0.3932,            0.012516,            0.012963,           0.0046741,           0.0074038,          0.00087337,             0.18256,           0.0088937,            0.012593,             0.10184,            0.015958,            0.045463,             0.11237,             0.04883,           0.0063203,             0.25858,             0.14752,             0.32489,            0.043816,           0.0019648,            0.019786,           0.0027073
                  11,            0.044735,            0.014724,            0.048734,             0.74071,            0.085437,            0.077587,            0.037208,            0.056303,            0.022547,            0.054322,             0.00967,             0.00967,             0.00967,             0.14377,           0.0079792,           0.0041243,          0.00086696,           0.0016044,          0.00037652,            0.090202,           0.0026501,           0.0062431,            0.019221,           0.0055159,            0.034068,            0.019217,            0.013113,          0.00079836,             0.26003,            0.055414,             0.13058,             0.01871,           0.0021937,           0.0016628,           0.0002318,             0.33823,            0.021208,             0.01108,           0.0018917,           0.0035528,           0.0013273,             0.21524,           0.0059921,            0.011154,            0.062953,            0.010641,            0.072063,            0.037996,            0.032264,           0.0015528,             0.43546,             0.14599,             0.23122,            0.052099,           0.0070888,           0.0072553,          0.00065299
                  12,            0.045976,            0.014365,            0.047941,             0.69827,            0.072368,            0.073982,            0.039478,            0.060684,            0.026952,            0.054107,            0.009637,            0.009637,            0.009637,             0.22479,           0.0071081,           0.0015446,           0.0014705,            0.001196,          0.00052926,            0.025965,          0.00059955,           0.0045256,            0.012577,           0.0047403,            0.026367,           0.0099023,             0.01772,          0.00092698,              0.2802,            0.028281,             0.17231,             0.04421,           0.0022133,           0.0010029,          0.00034096,             0.44037,            0.022689,           0.0036701,           0.0039802,           0.0027024,           0.0019165,            0.055862,           0.0015543,           0.0072475,            0.069869,            0.008228,            0.063889,            0.019105,            0.035773,           0.0017653,             0.47449,            0.077784,             0.23715,            0.089326,           0.0063749,           0.0028599,          0.00099666
                  13,            0.043831,            0.014443,            0.046757,              0.6758,            0.091295,            0.091472,            0.040606,            0.057992,            0.024465,            0.062321,            0.009604,            0.009604,            0.009604,             0.23351,           0.0088827,           0.0042087,          0.00067101,           0.0019898,           0.0014276,            0.055434,           0.0021426,           0.0047736,            0.048201,          0.00077729,            0.018016,            0.005385,            0.027968,           0.0013604,              0.2437,            0.040965,             0.12537,            0.063338,           0.0038153,           0.0012867,          9.0618e-05,             0.44717,             0.02723,           0.0093588,           0.0013257,           0.0044343,           0.0044618,             0.15407,             0.00486,           0.0085133,             0.24748,           0.0015764,             0.04413,           0.0083742,            0.050832,           0.0021625,             0.35634,             0.10841,             0.26515,             0.25562,           0.0068433,           0.0037454,          0.00030206
                  14,             0.04397,            0.014161,             0.04646,             0.61252,             0.11766,            0.099083,            0.050085,            0.054751,            0.021359,            0.054982,            0.009571,            0.009571,            0.009571,             0.32972,           0.0048228,           0.0063371,           0.0024029,           0.0019731,           0.0013017,            0.060056,           0.0021664,           0.0072366,             0.10929,            0.012111,            0.023142,            0.021681,            0.024206,          0.00040226,             0.14179,            0.055593,             0.23277,            0.050624,           0.0019351,             0.01179,          0.00051609,             0.59877,            0.010954,            0.017686,           0.0051722,           0.0047647,           0.0072554,             0.18549,           0.0050768,            0.012462,             0.22888,            0.017782,            0.046815,            0.043218,            0.044279,          0.00089424,             0.23765,              0.1505,             0.32315,             0.19444,           0.0053675,            0.037475,           0.0017499
                  15,            0.043721,            0.014001,            0.045174,             0.65405,             0.10442,             0.08377,            0.044012,            0.053913,            0.022571,            0.053536,            0.009538,            0.009538,            0.009538,             0.26243,           0.0063616,           0.0041814,           0.0020162,           0.0017794,             0.00292,             0.04718,            0.001668,           0.0066113,            0.030939,            0.021505,            0.045745,            0.013715,            0.028028,           0.0030064,             0.15606,            0.048572,             0.25145,            0.024503,           0.0037492,           0.0040546,           0.0017852,             0.53472,            0.022925,             0.01175,           0.0049453,           0.0045374,           0.0086697,             0.11824,           0.0039494,           0.0098979,            0.090223,            0.043344,            0.095077,            0.020493,            0.049626,           0.0068723,             0.28895,             0.12906,             0.33189,            0.041619,           0.0096533,            0.011715,           0.0047727
                  16,            0.043482,            0.013847,            0.044528,              0.6294,             0.11892,             0.09051,            0.038748,            0.052829,            0.022394,            0.054378,            0.009505,            0.009505,            0.009505,             0.26514,           0.0086063,           0.0049957,            0.003407,           0.0016949,           0.0008785,            0.065619,           0.0027679,           0.0076214,            0.077669,            0.005151,            0.042643,            0.011866,            0.028444,           0.0008104,             0.12312,             0.06445,            0.065445,             0.05653,           0.0025618,            0.011963,           0.0010638,             0.44489,            0.025161,            0.012992,            0.010059,           0.0036233,           0.0040168,             0.22965,             0.00607,            0.011525,             0.29508,           0.0074692,            0.078697,            0.017745,            0.052943,           0.0014257,             0.22743,                0.16,             0.13672,             0.22351,           0.0056376,            0.034249,           0.0023092
                  17,             0.04412,            0.013769,            0.043621,             0.54494,             0.10994,            0.096357,             0.04894,            0.057732,              0.0223,            0.054883,            0.009472,            0.009472,            0.009472,             0.27953,           0.0068744,           0.0033319,           0.0030422,           0.0024495,           0.0015376,            0.026308,           0.0041879,           0.0064606,            0.086899,           0.0054298,            0.024065,            0.009828,            0.023672,            0.012621,             0.17199,            0.053155,             0.25676,            0.094253,           0.0017814,           0.0024318,          6.5375e-05,             0.51333,            0.021377,           0.0089386,            0.010179,           0.0057017,           0.0035571,            0.082799,           0.0096328,            0.011479,             0.20106,            0.010388,            0.053527,            0.020091,            0.048842,            0.019802,             0.31751,              0.1304,              0.3504,             0.28611,           0.0046401,           0.0096003,           0.0004946
                  18,            0.043029,            0.013609,            0.042676,             0.63305,             0.11285,            0.091013,            0.043163,            0.056699,            0.024069,            0.055153,            0.009439,            0.009439,            0.009439,             0.26465,           0.0085913,           0.0044393,           0.0066621,          0.00064588,          0.00081076,             0.10582,           0.0029848,           0.0072691,            0.099825,           0.0038646,            0.020278,           0.0075979,            0.011327,           0.0014807,             0.13916,            0.045514,             0.14445,            0.065994,           0.0069287,          0.00085077,          0.00044283,             0.45598,            0.019894,            0.010721,            0.032438,           0.0014529,            0.002427,             0.22259,           0.0063191,            0.012808,             0.22425,           0.0048094,            0.055432,            0.011883,            0.026988,           0.0050315,             0.24071,             0.11318,             0.28976,             0.25084,            0.011273,           0.0024078,           0.0010849
                  19,            0.041703,            0.013545,             0.04156,             0.63588,             0.12316,             0.12385,            0.062494,            0.051778,            0.022737,            0.049813,            0.009406,            0.009406,            0.009406,             0.43278,             0.01465,           0.0054936,           0.0085049,           0.0018994,            0.013798,            0.080166,           0.0031898,           0.0088937,             0.16947,            0.020482,            0.032913,            0.010973,            0.043522,           0.0043954,             0.25606,            0.070498,             0.12697,            0.045792,           0.0033714,            0.019999,           0.0010531,             0.64684,            0.046332,            0.013803,            0.030242,           0.0047408,            0.045215,             0.18629,           0.0065979,            0.014101,             0.41408,            0.026959,            0.068096,            0.018001,            0.084999,            0.013787,             0.43049,             0.16292,             0.26946,             0.17625,            0.009996,            0.053403,           0.0020196
