               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,     metrics/rov_mAP,   metrics/plant_mAP,metrics/animal_fish_mAP,metrics/animal_starfish_mAP,metrics/animal_shells_mAP,metrics/animal_crabh_mAP,metrics/animal_eel_mAP,metrics/animal_etc_mAP,metrics/trash_clothing_mAP,metrics/trash_pipe_mAP,metrics/trash_bottle_mAP,metrics/trash_bag_mAP,metrics/trash_snack_wrapper_mAP,metrics/trash_can_mAP,metrics/trash_cup_mAP,metrics/trash_container_mAP,metrics/trash_unknown_instance_mAP,metrics/trash_branch_mAP,metrics/trash_wreckage_mAP,metrics/trash_tarp_mAP,metrics/trash_rope_mAP,metrics/trash_net_mAP,  metrics/rov_mAP_50,metrics/plant_mAP_50,metrics/animal_fish_mAP_50,metrics/animal_starfish_mAP_50,metrics/animal_shells_mAP_50,metrics/animal_crabh_mAP_50,metrics/animal_eel_mAP_50,metrics/animal_etc_mAP_50,metrics/trash_clothing_mAP_50,metrics/trash_pipe_mAP_50,metrics/trash_bottle_mAP_50,metrics/trash_bag_mAP_50,metrics/trash_snack_wrapper_mAP_50,metrics/trash_can_mAP_50,metrics/trash_cup_mAP_50,metrics/trash_container_mAP_50,metrics/trash_unknown_instance_mAP_50,metrics/trash_branch_mAP_50,metrics/trash_wreckage_mAP_50,metrics/trash_tarp_mAP_50,metrics/trash_rope_mAP_50,metrics/trash_net_mAP_50
                  10,            0.037765,           0.0074221,            0.032029,             0.25299,            0.054414,            0.024234,            0.010108,            0.069882,            0.031439,            0.093955,            0.009703,            0.009703,            0.009703,            0.030716,            0.002307,            0.014081,          0.00076016,          0.00052088,          0.00014284,            0.020383,           0.0011326,           0.0032875,           0.0047822,           0.0064043,            0.011569,           0.0013816,            0.025686,           0.0019308,            0.050188,            0.025915,            0.014885,          0.00092424,          0.00037589,          0.00026992,           0.0047371,            0.087491,           0.0085296,            0.025756,           0.0022474,           0.0013364,          0.00057748,            0.060451,           0.0048237,           0.0092431,            0.011458,            0.035333,            0.028945,           0.0025764,            0.053467,           0.0040403,            0.087034,            0.062545,            0.030209,           0.0016783,          0.00096214,          0.00098581,            0.013453
                  11,             0.03678,            0.007246,            0.029727,             0.29286,             0.03301,             0.02478,            0.011352,            0.073015,            0.033529,            0.096529,             0.00967,             0.00967,             0.00967,            0.013833,            0.004825,           0.0061365,                   0,          0.00032508,          0.00017364,           0.0097354,           0.0014283,                   0,            0.032243,             0.02512,            0.018498,           0.0047903,            0.041237,           0.0012677,            0.021373,             0.01053,            0.056121,          0.00069479,          0.00020267,          0.00042094,           0.0007995,            0.036937,            0.017027,            0.014274,                   0,           0.0016519,           0.0011591,            0.019149,            0.004181,                   0,            0.085065,            0.045398,            0.032745,            0.006234,             0.07869,           0.0030443,             0.05876,            0.023234,             0.11051,           0.0020985,          0.00088675,           0.0018194,            0.002294
                  12,            0.036059,           0.0071649,            0.027494,             0.25632,            0.050059,            0.027172,            0.012515,            0.075363,            0.030095,            0.093991,            0.009637,            0.009637,            0.009637,            0.020664,           0.0022016,            0.014281,          0.00031068,                   0,          0.00081347,            0.038613,           0.0019664,            0.016693,            0.010233,            0.012295,            0.062322,           0.0048664,            0.013549,           0.0012965,            0.031814,            0.015456,            0.026493,           0.0002225,          0.00057749,          0.00031245,          0.00034843,            0.058639,           0.0078135,            0.032089,          0.00078067,                   0,           0.0023164,             0.06751,           0.0056836,             0.03137,            0.030138,            0.013993,             0.13043,           0.0087556,            0.026479,           0.0023797,            0.074641,             0.03693,            0.063276,          0.00060112,            0.001038,           0.0019301,          0.00099139
                  13,            0.035999,           0.0070155,            0.025993,             0.26542,            0.048725,             0.02437,            0.010408,            0.072756,              0.0308,            0.098691,            0.009604,            0.009604,            0.009604,             0.02011,           0.0027407,           0.0052747,          0.00012129,                   0,          0.00017888,           0.0098178,           0.0014665,           0.0011192,            0.021363,            0.036068,            0.032947,           0.0010458,           0.0021095,                   0,           0.0079864,            0.011286,            0.059402,           0.0002945,          0.00014526,            0.015139,          0.00035698,            0.049107,            0.010593,            0.013366,          0.00072889,                   0,          0.00062187,            0.027002,           0.0080394,           0.0023115,            0.048997,            0.047164,            0.080755,           0.0015939,           0.0069266,                   0,            0.030123,            0.027831,             0.12564,           0.0010004,          0.00072631,            0.052177,           0.0014362
                  14,            0.035735,           0.0069012,            0.024319,             0.26162,            0.053979,            0.039922,            0.015826,            0.076955,            0.031825,             0.10043,            0.009571,            0.009571,            0.009571,           0.0072363,            0.010224,            0.010049,          2.2418e-05,                   0,                   0,            0.018268,          0.00070826,            0.009234,            0.015221,            0.014599,            0.065521,            0.003433,           0.0096615,                   0,            0.046299,            0.010721,              0.1227,                   0,           0.0014808,           0.0023482,          0.00044594,            0.018356,            0.031978,            0.025192,          0.00022418,                   0,                   0,            0.039837,           0.0022553,            0.026499,            0.044182,             0.05164,             0.16948,           0.0057106,            0.034478,                   0,             0.12029,            0.030618,             0.26467,                   0,           0.0030956,           0.0084949,           0.0012923
                  15,            0.035598,           0.0068995,            0.023311,              0.2574,            0.068261,            0.042574,            0.020681,             0.07563,            0.030362,            0.096162,            0.009538,            0.009538,            0.009538,            0.017563,           0.0005105,           0.0098709,          0.00044153,          0.00040746,                   0,             0.03569,          0.00090117,            0.084852,           0.0040644,            0.051803,            0.086234,           0.0046661,            0.067635,           0.0047916,            0.043317,            0.015023,            0.026065,                   0,          0.00080913,          0.00019419,          0.00013756,            0.045037,           0.0020667,            0.022703,           0.0012475,          0.00050933,                   0,            0.094122,           0.0032524,             0.15098,            0.019258,             0.11948,             0.13685,              0.0072,             0.11585,           0.0097416,            0.089275,             0.03556,            0.080331,                   0,           0.0015607,           0.0011088,           0.0004811
                  16,            0.035443,            0.006975,             0.02234,              0.2243,            0.031731,            0.025041,            0.010004,              0.0795,            0.032688,            0.095063,            0.009505,            0.009505,            0.009505,            0.014835,          0.00062516,            0.007274,          0.00026296,                   0,          0.00087103,            0.018794,          0.00040636,            0.016384,           0.0010611,          0.00082212,            0.031165,           0.0029239,           0.0028238,           0.0020163,            0.015848,           0.0074086,            0.093158,           0.0011337,           0.0011108,          0.00086776,          0.00030362,            0.039752,           0.0025648,             0.01726,          0.00087654,                   0,           0.0033032,            0.042895,           0.0012237,            0.028091,           0.0048313,           0.0032567,            0.061511,           0.0058179,           0.0068351,            0.004222,            0.055606,             0.02576,             0.23715,           0.0040221,           0.0020482,            0.003205,          0.00067695
                  17,            0.034591,           0.0066859,            0.020806,             0.23283,            0.057129,            0.028354,            0.011305,            0.075666,            0.031976,             0.10032,            0.009472,            0.009472,            0.009472,            0.019364,           0.0035207,            0.010296,          0.00059582,          4.6117e-05,           0.0003264,            0.023477,           0.0026621,            0.017409,            0.011489,           0.0003618,             0.03939,             0.00392,            0.012491,           0.0021677,            0.037639,            0.014372,             0.04547,          0.00073057,          0.00033567,           0.0020464,          0.00059747,            0.048182,            0.015513,              0.0251,           0.0022263,          0.00046117,           0.0017638,            0.063607,           0.0078906,            0.031149,            0.030756,           0.0011252,            0.080079,           0.0065749,            0.031998,           0.0039252,             0.10744,            0.035017,             0.11711,           0.0020101,           0.0009344,           0.0087869,           0.0021316
                  18,            0.034537,           0.0066252,            0.019855,             0.22026,            0.059128,            0.027769,            0.010572,            0.077263,            0.030015,            0.099404,            0.009439,            0.009439,            0.009439,            0.018805,           0.0059839,            0.012478,          0.00014392,          0.00038688,            0.020351,           0.0096823,          0.00096664,           0.0029756,           0.0088303,            0.046407,           0.0098541,           0.0056656,            0.016603,           0.0051956,            0.028335,            0.011375,            0.026403,                   0,          0.00018847,            0.001064,          0.00089532,            0.055804,            0.020615,            0.034717,          0.00036142,          0.00048359,            0.057476,            0.021463,           0.0042504,           0.0065027,            0.028978,              0.1076,            0.023437,            0.010423,            0.043565,            0.012323,             0.09098,            0.027294,            0.057488,                   0,          0.00053658,           0.0031894,           0.0034438
                  19,            0.034091,           0.0066506,            0.019354,             0.24784,            0.065223,            0.052374,            0.023742,            0.075099,            0.030613,            0.093891,            0.009406,            0.009406,            0.009406,           0.0076591,           0.0023682,            0.026777,          0.00014316,                   0,           0.0028983,            0.010162,          0.00093893,             0.13428,            0.033544,            0.014552,             0.04343,           0.0056027,            0.059245,           0.0032811,            0.042096,             0.01199,             0.11588,          0.00030541,          0.00041457,           0.0060306,          0.00072865,            0.023254,           0.0071865,            0.076018,          0.00061753,                   0,           0.0096639,             0.02524,           0.0032937,             0.23222,            0.088328,            0.036674,             0.11136,             0.00984,             0.13548,             0.00742,             0.12557,            0.033842,             0.20595,           0.0012395,           0.0011317,            0.015536,            0.002375
