               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,     metrics/rov_mAP,   metrics/plant_mAP,metrics/animal_fish_mAP,metrics/animal_starfish_mAP,metrics/animal_shells_mAP,metrics/animal_crabh_mAP,metrics/animal_eel_mAP,metrics/animal_etc_mAP,metrics/trash_etc_mAP,metrics/trash_fabric_mAP,metrics/trash_fisching_gear_mAP,metrics/trash_metal_mAP,metrics/trash_paper_mAP,metrics/trash_plastic_mAP,metrics/trash_rubber_mAP,metrics/trash_wood_mAP,  metrics/rov_mAP_50,metrics/plant_mAP_50,metrics/animal_fish_mAP_50,metrics/animal_starfish_mAP_50,metrics/animal_shells_mAP_50,metrics/animal_crabh_mAP_50,metrics/animal_eel_mAP_50,metrics/animal_etc_mAP_50,metrics/trash_etc_mAP_50,metrics/trash_fabric_mAP_50,metrics/trash_fisching_gear_mAP_50,metrics/trash_metal_mAP_50,metrics/trash_paper_mAP_50,metrics/trash_plastic_mAP_50,metrics/trash_rubber_mAP_50,metrics/trash_wood_mAP_50
                  10,            0.033369,            0.014858,             0.01572,             0.51582,             0.44406,              0.4431,             0.24039,            0.038075,            0.017261,            0.031742,            0.005545,            0.005545,            0.005545,             0.58435,            0.080606,             0.18267,             0.23141,             0.13478,             0.11073,              0.3279,            0.082275,             0.17573,              0.3507,            0.078928,              0.3109,             0.32348,             0.42261,              0.2407,             0.20851,             0.79466,             0.28598,             0.38015,             0.64827,             0.36447,             0.24991,             0.63124,              0.1481,             0.35041,             0.52869,              0.2056,             0.52541,             0.49193,              0.6834,             0.35252,             0.44885
                  11,            0.032381,            0.014454,            0.014349,             0.59623,              0.4752,             0.48072,             0.26692,            0.037523,            0.016778,            0.030286,             0.00505,             0.00505,             0.00505,             0.59994,             0.20441,             0.16874,             0.23301,             0.23178,            0.095586,             0.32406,            0.075608,             0.19968,             0.44121,            0.079069,             0.30741,             0.34099,             0.40738,             0.25969,             0.30208,             0.80683,             0.44493,             0.38931,             0.63929,             0.49227,             0.25185,             0.63314,             0.15744,             0.39677,             0.66816,              0.2298,             0.52288,             0.51041,             0.68534,             0.35264,             0.51047
                  12,            0.031732,             0.01425,            0.012767,             0.61743,              0.4456,             0.47378,             0.27495,             0.03678,            0.016724,            0.030982,            0.004555,            0.004555,            0.004555,             0.62577,             0.23317,             0.20367,             0.24984,             0.20381,            0.079079,             0.35908,            0.077015,             0.17575,             0.45009,            0.073548,             0.34433,              0.3505,             0.44756,             0.22554,             0.30037,             0.82578,             0.46782,             0.45889,             0.61194,             0.44357,             0.22391,             0.62515,             0.19651,             0.35604,             0.63641,              0.1871,              0.5501,             0.53158,             0.67065,             0.35175,             0.44331
                  13,             0.03063,            0.013831,            0.011443,              0.5787,             0.50742,             0.48307,             0.28189,            0.036332,            0.016995,            0.029201,             0.00406,             0.00406,             0.00406,             0.60469,             0.32112,             0.18933,             0.22044,             0.21628,            0.061587,             0.34162,             0.12344,             0.19502,             0.40536,             0.06487,             0.36367,             0.37617,             0.47817,             0.24276,             0.30563,             0.79843,             0.55339,             0.40477,             0.57248,             0.44541,             0.18009,             0.64066,             0.27706,             0.37354,             0.61407,             0.18472,             0.57375,             0.56178,             0.68759,             0.37452,              0.4869
                  14,             0.03001,            0.013465,            0.010481,             0.62059,              0.5018,             0.50129,             0.28665,            0.036375,            0.017128,            0.029649,            0.003565,            0.003565,            0.003565,             0.61938,             0.24387,              0.2066,             0.22761,             0.24574,               0.048,              0.3704,             0.10832,             0.21621,             0.45748,            0.090299,             0.34316,             0.34427,             0.45299,             0.21497,             0.39714,             0.82554,             0.48317,             0.47222,             0.63601,             0.49678,             0.16519,             0.65681,             0.24715,             0.40451,             0.70627,              0.2347,             0.57062,             0.52677,             0.68608,             0.35225,             0.55654
                  15,            0.029252,            0.013513,            0.009513,              0.6513,             0.50479,             0.53705,             0.31559,            0.035658,            0.016433,            0.028099,             0.00307,             0.00307,             0.00307,             0.64522,             0.25979,             0.27222,               0.273,             0.23451,            0.058314,             0.40196,             0.23944,              0.2494,             0.45318,             0.11594,             0.36038,             0.37949,             0.47618,              0.2729,             0.35751,             0.83884,             0.51672,             0.52249,             0.69659,             0.47343,             0.18797,             0.67313,             0.47681,             0.45017,             0.69766,             0.30709,             0.58436,             0.55264,             0.71449,              0.3571,             0.54326
                  16,            0.028359,            0.012948,           0.0087443,             0.65786,             0.51565,             0.53182,             0.32154,            0.034926,            0.017388,             0.02735,            0.002575,            0.002575,            0.002575,             0.64236,             0.25896,             0.21119,             0.27238,             0.21498,            0.057819,             0.42573,             0.26088,             0.25419,             0.47199,             0.14301,             0.39024,              0.3766,             0.48362,             0.27023,             0.41051,             0.84964,             0.49269,             0.43198,             0.64201,             0.45475,             0.12868,             0.69822,             0.49618,             0.46243,             0.68767,             0.35137,             0.59672,             0.55096,             0.73102,             0.34894,             0.58589
                  17,            0.027922,            0.013051,           0.0083162,             0.68374,             0.53867,             0.55569,             0.33695,            0.034515,            0.016246,            0.028855,             0.00208,             0.00208,             0.00208,             0.66338,              0.3337,             0.21514,             0.29473,             0.25771,             0.11155,             0.37381,             0.28408,             0.24488,             0.53199,              0.1321,             0.38145,             0.39945,             0.49413,             0.24521,             0.42782,             0.85181,             0.55412,             0.45818,             0.70887,              0.4797,             0.25895,             0.68554,              0.4937,             0.45825,             0.72237,             0.34393,             0.59404,             0.55956,             0.74133,             0.34986,             0.63087
                  18,            0.026652,            0.012636,           0.0074665,             0.66857,             0.53041,             0.54087,             0.32937,            0.034151,             0.01638,            0.029216,            0.001585,            0.001585,            0.001585,             0.66509,             0.30965,             0.24182,             0.31571,             0.23899,            0.081861,             0.39532,              0.2636,             0.20874,             0.42661,             0.14825,             0.41521,             0.40355,             0.51137,             0.24649,             0.39769,             0.86506,             0.53823,             0.47802,             0.69921,             0.47763,             0.22611,             0.68515,             0.49211,             0.39916,              0.5934,             0.34286,             0.61212,             0.57092,             0.73798,             0.35201,             0.58386
                  19,            0.026146,            0.012358,            0.007013,             0.66522,             0.53764,             0.55261,             0.33833,            0.034036,            0.016753,            0.027519,             0.00109,             0.00109,             0.00109,             0.66243,             0.30432,             0.26848,             0.30702,             0.24103,            0.077161,             0.43138,             0.24783,             0.24348,             0.48842,             0.16889,             0.40134,             0.40058,             0.51503,             0.24412,             0.41172,             0.85841,             0.55052,             0.52455,             0.67842,             0.46907,             0.20523,             0.72248,             0.46661,             0.44334,              0.7257,             0.35315,             0.61409,             0.56809,             0.74485,             0.35059,             0.56665
