               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,     metrics/rov_mAP,   metrics/plant_mAP,metrics/animal_fish_mAP,metrics/animal_starfish_mAP,metrics/animal_shells_mAP,metrics/animal_crabh_mAP,metrics/animal_eel_mAP,metrics/animal_etc_mAP,metrics/trash_clothing_mAP,metrics/trash_pipe_mAP,metrics/trash_bottle_mAP,metrics/trash_bag_mAP,metrics/trash_snack_wrapper_mAP,metrics/trash_can_mAP,metrics/trash_cup_mAP,metrics/trash_container_mAP,metrics/trash_unknown_instance_mAP,metrics/trash_branch_mAP,metrics/trash_wreckage_mAP,metrics/trash_tarp_mAP,metrics/trash_rope_mAP,metrics/trash_net_mAP,  metrics/rov_mAP_50,metrics/plant_mAP_50,metrics/animal_fish_mAP_50,metrics/animal_starfish_mAP_50,metrics/animal_shells_mAP_50,metrics/animal_crabh_mAP_50,metrics/animal_eel_mAP_50,metrics/animal_etc_mAP_50,metrics/trash_clothing_mAP_50,metrics/trash_pipe_mAP_50,metrics/trash_bottle_mAP_50,metrics/trash_bag_mAP_50,metrics/trash_snack_wrapper_mAP_50,metrics/trash_can_mAP_50,metrics/trash_cup_mAP_50,metrics/trash_container_mAP_50,metrics/trash_unknown_instance_mAP_50,metrics/trash_branch_mAP_50,metrics/trash_wreckage_mAP_50,metrics/trash_tarp_mAP_50,metrics/trash_rope_mAP_50,metrics/trash_net_mAP_50
                  10,            0.044246,            0.011957,             0.04547,              0.6333,             0.14684,             0.12224,             0.05623,            0.055213,            0.021536,            0.050407,            0.009703,            0.009703,            0.009703,             0.25387,           0.0091038,            0.019292,           0.0051135,            0.003804,            0.041631,            0.048668,            0.013759,            0.012835,            0.078881,           0.0052609,            0.070313,            0.014065,            0.087406,           0.0034427,             0.13687,            0.063187,             0.27018,              0.0838,           0.0007572,           0.0054614,           0.0093524,             0.55474,            0.028114,              0.0404,            0.012409,            0.014538,             0.13362,             0.11517,            0.024514,            0.021592,             0.14156,           0.0087023,             0.16555,            0.025341,              0.1884,            0.011509,             0.28505,             0.18196,             0.59374,             0.11147,           0.0022641,           0.0094641,            0.019115
                  11,            0.043039,            0.011852,            0.043858,             0.60954,            0.094552,            0.096481,            0.045584,            0.062797,            0.026256,            0.055275,             0.00967,             0.00967,             0.00967,             0.17419,           0.0030437,            0.018113,           0.0012878,          0.00081126,          0.00089931,            0.073058,           0.0015181,             0.01042,            0.078204,           0.0015897,            0.029808,              0.0121,            0.015203,           0.0032079,             0.24327,            0.041466,             0.28105,           0.0043428,          0.00080557,            0.006852,           0.0016213,             0.36856,            0.011995,            0.037233,           0.0046117,           0.0018207,           0.0034402,             0.14872,           0.0036547,            0.020125,             0.16829,           0.0032122,            0.087173,            0.028701,            0.038451,            0.013137,             0.51281,             0.10315,             0.52783,            0.017237,           0.0016713,            0.017679,           0.0030969
                  12,            0.042825,            0.011636,            0.041672,             0.52795,             0.14829,             0.14413,             0.06952,            0.053938,            0.022842,            0.045355,            0.009637,            0.009637,            0.009637,             0.28454,            0.017548,            0.049979,            0.017712,           0.0038534,            0.016786,            0.078049,           0.0055262,           0.0084146,            0.056803,             0.17651,            0.059465,            0.014877,            0.058477,            0.028145,             0.16135,            0.065217,             0.25391,            0.087816,            0.071872,           0.0084221,           0.0041544,             0.64439,            0.047506,             0.12083,            0.081508,            0.011026,            0.053793,             0.17678,            0.012392,             0.01719,             0.14291,             0.20334,             0.13344,            0.023258,             0.19429,            0.063299,             0.30771,              0.1607,             0.41039,             0.15321,             0.18454,            0.019287,           0.0090491
                  13,            0.041931,            0.011455,             0.04083,              0.5513,             0.16759,               0.156,            0.083977,            0.051994,            0.021706,            0.044893,            0.009604,            0.009604,            0.009604,             0.36742,            0.037267,            0.019739,           0.0076868,           0.0045479,            0.012282,            0.066443,           0.0024467,            0.025421,              0.0535,             0.09161,            0.077567,            0.032012,             0.14515,            0.011286,             0.30679,            0.085279,             0.38059,            0.097172,           0.0036422,            0.014612,           0.0050379,             0.65072,             0.12848,            0.056971,            0.042051,            0.013526,            0.037706,             0.14442,           0.0056177,            0.040786,             0.09134,             0.11744,             0.17087,            0.057494,             0.34422,            0.028943,             0.51537,             0.23065,             0.57677,             0.12855,            0.013097,            0.027609,           0.0094209
                  14,            0.042653,            0.011284,            0.038538,             0.44423,             0.16538,             0.13092,            0.058171,            0.052988,            0.022726,             0.04853,            0.009571,            0.009571,            0.009571,             0.25029,            0.029358,            0.037788,           0.0043289,           0.0018962,           0.0042744,             0.10659,            0.002505,           0.0045689,             0.15614,            0.018914,             0.06317,           0.0059824,            0.040886,           0.0024256,             0.20434,            0.056326,             0.23484,            0.043778,           0.0026583,            0.006889,           0.0018128,             0.57143,            0.083467,            0.090708,            0.023587,           0.0052723,            0.016727,             0.24112,            0.004955,           0.0065954,             0.34201,            0.025458,             0.12284,           0.0094469,              0.1244,            0.004853,              0.3395,              0.1527,             0.58236,             0.10679,           0.0062128,            0.015401,           0.0043796
                  15,            0.041747,            0.011026,            0.036535,             0.46116,             0.16119,             0.15652,            0.082244,            0.052861,            0.023287,            0.045246,            0.009538,            0.009538,            0.009538,             0.30035,           0.0088956,            0.038871,            0.017009,           0.0067602,            0.021698,             0.15781,           0.0049459,              0.0259,            0.087071,           0.0084036,             0.08086,             0.04384,             0.18279,            0.025152,             0.23588,            0.062676,             0.40949,            0.053298,            0.023728,            0.010979,           0.0029632,             0.53285,            0.028152,            0.077125,            0.062543,            0.018012,            0.055047,             0.36641,            0.012225,            0.039735,             0.15909,            0.011836,             0.19842,            0.071129,             0.34044,            0.050899,             0.45125,             0.15042,              0.6187,             0.11339,            0.063123,            0.017582,           0.0049575
                  16,            0.041276,            0.010848,            0.035226,             0.44119,             0.16736,             0.15849,            0.074844,            0.053508,            0.024869,             0.04679,            0.009505,            0.009505,            0.009505,             0.27274,            0.023778,            0.056414,            0.020613,           0.0041904,            0.018994,            0.097651,            0.018838,           0.0096119,            0.067474,            0.024408,            0.081016,            0.014453,            0.082735,           0.0027871,             0.25322,            0.072418,             0.31272,             0.19911,            0.002283,           0.0087964,           0.0023264,             0.56505,            0.079182,             0.12775,            0.063022,             0.01504,            0.082139,              0.2282,            0.074326,            0.019139,             0.13653,            0.052519,             0.14172,            0.033361,             0.25499,           0.0082265,             0.39274,             0.16754,             0.60602,              0.3992,           0.0077432,            0.025899,           0.0064206
                  17,            0.040523,            0.010666,            0.034112,             0.47903,             0.21733,             0.19467,            0.097291,            0.051439,            0.021031,            0.044608,            0.009472,            0.009472,            0.009472,             0.33693,            0.032517,            0.052429,            0.037684,           0.0022845,            0.052963,             0.12595,           0.0076874,            0.017584,             0.14641,            0.024277,             0.11419,            0.010811,              0.1387,            0.049433,             0.25323,            0.088076,              0.4087,             0.13527,            0.066152,           0.0052621,            0.033866,             0.60794,             0.12588,             0.10993,             0.11359,           0.0083235,             0.13398,              0.2898,            0.018784,            0.038643,             0.25385,            0.046692,             0.23472,            0.026469,             0.30333,             0.10361,             0.47366,             0.23744,             0.63359,              0.2243,             0.20983,             0.01732,            0.071066
                  18,            0.041812,            0.010647,            0.032524,             0.35357,             0.18546,             0.16111,            0.081337,            0.055195,            0.023065,            0.046863,            0.009439,            0.009439,            0.009439,             0.30623,            0.020544,            0.025901,            0.010247,            0.016285,            0.058335,            0.098712,           0.0022971,            0.028644,             0.12296,            0.028588,             0.16338,            0.031585,              0.1972,            0.029902,             0.23798,            0.063618,               0.266,            0.047065,            0.023672,           0.0038151,           0.0064711,             0.60596,            0.062444,            0.054824,            0.035386,            0.060947,             0.14848,             0.26864,           0.0068211,            0.044508,              0.2265,            0.061415,             0.27364,            0.063334,             0.35048,            0.058789,             0.39967,             0.18493,             0.45059,             0.10241,            0.054268,           0.0082772,            0.022007
                  19,            0.040265,            0.010531,            0.031265,             0.32304,             0.25524,             0.21911,             0.10505,             0.05602,            0.022458,            0.039483,            0.009406,            0.009406,            0.009406,             0.25318,             0.05687,            0.042995,             0.01382,           0.0020118,             0.10342,             0.10526,            0.016549,            0.021038,             0.24153,            0.038388,              0.1306,            0.085466,             0.12364,            0.041038,             0.36747,             0.10615,             0.34706,            0.085614,            0.049834,            0.027178,            0.052061,             0.47977,             0.20094,             0.11014,            0.053495,           0.0065301,              0.2855,              0.2485,             0.04039,            0.036923,             0.37744,            0.046624,             0.26487,             0.17836,             0.29665,             0.13238,             0.57548,              0.2428,             0.58566,              0.2365,             0.21589,             0.04966,             0.15586
